stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100SVRNBCH1,Severn Beach (Platform 1),51.5596758,-2.6645392,SVB,SVRNBCH,,Europe/London,1,1,910GSVRNBCH,0
9100SVRNBCHBUS,Severn Beach (Platform BUS),51.5596758,-2.6645392,SVB,SVRNBCH,,Europe/London,1,BUS,910GSVRNBCH,0
9100SWALE1,Swale (Platform 1),51.3889653,0.7468492,SWL,SWALE,,Europe/London,0,1,910GSWALE,0
9100SWALEBUS,Swale (Platform BUS),51.38923631268,0.74713374164,SWL,SWALE,,Europe/London,0,BUS,910GSWALE,0
9100SWANSEABUS,Swansea (Platform BUS),51.6256789,-3.9403729,SWA,SWANSEA,,Europe/London,1,BUS,910GSWANSEA,0
9100SWAY1,Sway (Platform 1),50.7847131,-1.6099505,SWY,SWAY,,Europe/London,0,1,910GSWAY,0
9100SWAY2,Sway (Platform 2),50.7847131,-1.6099505,SWY,SWAY,,Europe/London,0,2,910GSWAY,0
9100SWCH1,Sandwich (Platform 1),51.2699629,1.3422666,SDW,SWCH,,Europe/London,0,1,910GSWCH,0
9100SWCH2,Sandwich (Platform 2),51.2699629,1.3422666,SDW,SWCH,,Europe/London,0,2,910GSWCH,0
9100SWCHBUS,Sandwich (Platform BUS),51.26990372332,1.34256820363,SDW,SWCH,,Europe/London,0,BUS,910GSWCH,0
9100SWELLBUS,Shepherds Well (Platform BUS),51.18839935948,1.22991029446,SPH,SWELL,,Europe/London,0,BUS,910GSWELL,0
9100SWINTN1,Swinton (South Yorks) (Platform 1),53.4855977,-1.3056214,SWN,SWINTN,,Europe/London,1,1,910GSWINTN,0
9100SWINTN2,Swinton (South Yorks) (Platform 2),53.4855977,-1.3056214,SWN,SWINTN,,Europe/London,1,2,910GSWINTN,0
9100SWINTN3,Swinton (South Yorks) (Platform 3),53.4855977,-1.3056214,SWN,SWINTN,,Europe/London,1,3,910GSWINTN,0
9100SWINTNBUS,Swinton (South Yorks) (Platform BUS),53.4855977,-1.3056214,SWN,SWINTN,,Europe/London,1,BUS,910GSWINTN,0
9100SWLYBUS,Swanley (Platform BUS),51.3930961,0.1678721,SAY,SWLY,,Europe/London,0,BUS,910GSWLY,0
9100SWNDRBY1,Swinderby (Platform 1),53.1693479,-0.7026611,SWD,SWNDRBY,,Europe/London,2,1,910GSWNDRBY,0
9100SWNDRBY2,Swinderby (Platform 2),53.1693479,-0.7026611,SWD,SWNDRBY,,Europe/London,2,2,910GSWNDRBY,0
9100SWNSCMB1,Swanscombe (Platform 1),51.4489829,0.311584,SWM,SWNSCMB,,Europe/London,2,1,910GSWNSCMB,0
9100SWNSCMB2,Swanscombe (Platform 2),51.4489829,0.311584,SWM,SWNSCMB,,Europe/London,2,2,910GSWNSCMB,0
9100SWNSCMBBUS,Swanscombe (Platform BUS),51.44907051261,0.3095432837,SWM,SWNSCMB,,Europe/London,2,BUS,910GSWNSCMB,0
9100SWNSGDBUS,Swanscombe (Platform BUS),51.4489829,0.311584,SWM,SWNSGD,,Europe/London,2,BUS,910GSWNSCMB,0
9100SWNWICK1,Swanwick (Platform 1),50.8757233,-1.2657803,SNW,SWNWICK,,Europe/London,0,1,910GSWNWICK,0
9100SWNWICK2,Swanwick (Platform 2),50.8757233,-1.2657803,SNW,SWNWICK,,Europe/London,0,2,910GSWNWICK,0
9100SWRBBDGBUS,Sowerby Bridge (Platform BUS),53.7078483,-1.9072266,SOW,SWRBBDG,,Europe/London,1,BUS,910GSWRBBDG,0
9100SWSHEAD1,Swineshead (Platform 1),52.9697297,-0.1867064,SWE,SWSHEAD,,Europe/London,0,1,910GSWSHEAD,0
