stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
ALDWNWS,,ALDWARKE U.E.S.,,53.4598063549742,-1.32100239292617
ALDWRKJ,,ALDWARKE JN,,53.4589537570743,-1.32129662471958
ALDWRML,,BSC 11 INCH MILL,,53.4583873456277,-1.32225285818695
ALDWRS,,ALDWARKE REPAIR SIDINGS,,53.4613236296057,-1.31881401016064
ALERTN,LPY,Liverpool South Parkway Rail Station,,53.3577440907,-2.88912776514
ALERTN4,,LIVERPOOL S PW SIG WE1872,,53.3615483290029,-2.89443593740874
ALERTNJ,,ALLERTON JUNCTION,,53.3579560614837,-2.8883673421216
ALERTNS,XAL,ALLERTON TMD,,53.357707049426,-2.88181094706744
ALEX476,,ALEXANDRA PALACE SIG 476,,51.6019553,-0.1242773
ALEXNDP,AAP,Alexandra Palace Rail Station,,51.59792399595,-0.12023513932
ALEXPSS,,ALEXANDRA PALACE SAND SDG,,51.5980153087832,-0.12043125407164
ALFREMD,,EASTMID DESIGNER,,53.1064187397154,-1.31135115521385
ALFRETN,ALF,Alfreton Rail Station,,53.10043172212,-1.36969607227
ALLENSW,ALW,Allens West Rail Station,,54.52462276218,-1.36111669221
ALLEURL,,URLAY NOOK CROSSOVER,,54.5249526347944,-1.37866501959102
ALLGARC,,ALLINGTON AMEY ROADSTONE CN PS,,51.2924920306264,0.503104129395315
ALLGFHH,,ALLINGTON HANSON AGG,,51.2919392,0.5038758
ALLGREV,,ALLINGTON A.R.C. REVERSE,,51.292481899172,0.503120734443498
ALLOA,ALO,Alloa Rail Station,,56.11778919186,-3.79005562154
ALLOALP,,ALLOA LOOP,,56.117467402044,-3.79412639797483
ALMNUES,,Alnmouth Up Eng Sidings,,55.3917022,-1.6343989
ALNESS,ASS,Alness Rail Station,,57.69439411691,-4.24971628511
ALNGEJN,,ALLINGTON EAST JN,,52.9325805898757,-0.697494984773381
ALNGJN,,ALLINGTON WEST JN,,52.9330300471531,-0.702922061793892
ALNGNJN,,ALLINGTON NORTH JN,,52.9339345678011,-0.697673096817331
ALNMILL,,LITTLE MILL LC,,55.4525723899739,-1.6416772150935
ALNMOTH,ALM,Alnmouth Rail Station,,55.39277757806,-1.63663765884
ALNMUES,,ALNMOUTH UP ENG SIDINGS,,55.3914820932841,-1.63444639522451
ALRESFD,ALR,Alresford (Essex) Rail Station,,51.85400078986,0.9974365883
ALRSBUS,,ALRESFORD SWAN,,51.0832126,-1.2057674
ALRSFRD,ARF,ALRESFORD (MID HANTS),,51.12527,-1.0235972
ALRWAS,,ALREWAS L.C.,,52.7307558590425,-1.73878604763838
ALSAEJN,,EAST JUNCTION,,53.0918797937395,-2.28688010167437
ALSAGER,ASG,Alsager Rail Station,,53.09300333618,-2.29905753309
ALSAUDG,,UP & DOWN GOODS LOOP,,53.0918509097656,-2.29860168475382
ALSCGF,,ALLSCOTT GF,,52.709600031004,-2.56986879755185
ALSCTSW,,SUGAR SIDINGS,,52.7078302543025,-2.58606441211531
ALSCUPT,,UPTON MAGNA,,52.7025519525318,-2.66013752982269
ALSHAM,AYH,Aylesham Rail Station,,51.22725429648,1.2094529054
ALSTONS,XCX,ALSTONE CHS,,51.901165966808,-2.09780317460065
ALTFTJN,,ALTOFTS JN,,53.7098366268281,-1.41484253767461
ALTFTS,ATS,ALTOFTS,,,
ALTHORN,ALN,Althorne Rail Station,,51.6478704748,0.7524835631
ALTNBRC,ABC,Altnabreac Rail Station,,58.38814827615,-3.70628021863
ALTNCCE,,ALTNABREAC CE SIDING,,58.3867883801084,-3.7082595997867
ALTOBUS,,ALTON HIGH STREET,,51.1493099,-0.9789435
ALTON,AON,Alton Rail Station,,51.15196879112,-0.96691319996
ALTPE,ALP,Althorpe Rail Station,,53.58550078559,-0.73318220149
ALTPKC,,Keadby Canal,,,
ALTRMET,,ALTRINCHAM MTLK,,53.3883503321633,-2.34728421887075
ALTRNHM,ALT,Altrincham Rail Station,,53.38771656569,-2.34688878555
ALTT,ATW,ALTON TOWERS,,52.9917412,-1.8947355
ALVCHRC,ALV,Alvechurch Rail Station,,52.34607058592,-1.96766049449
ALVCRLP,,ALVECHURCH RED LION,,52.3523753214206,-1.9617757660169
ALVES,,ALVES,,57.637431773342,-3.46270513755917
ALXANDR,ALX,Alexandria Rail Station,,55.98508314964,-4.57748423627
ALXN440,,Alexandra Doc Jn Sig. N440,,51.5688062,-3.0070447
ALXNJTC,,NEWPORT TOPS,,51.5745076962369,-3.00812992895889
ALXNLHS,,ALEXANDRA DOCK JN YD LHS,,51.5723695700273,-3.00688284376712
ALXNUDG,,ALEXANDRA DOCKS UDG,,51.5715521945835,-3.00749451769258
ALXPD,AXP,Alexandra Parade Rail Station,,55.86317091519,-4.21064800754
AMBERGJ,XAJ,AMBERGATE JUNCTION,,53.054565909456,-1.4839228492958
AMBERGT,AMB,Ambergate Rail Station,,53.06051632822,-1.4806974242
AMBEWIN,,WINGFIELD,,53.0718631136469,-1.45008606310962
AMBRIEU,,AMBERIEU  (FRANCE),,,
AMERMWD,,MANTLES WOOD,,51.6802166508808,-0.627377129263334
AMERSHM,AMR,Amersham Rail Station,,51.67420579888,-0.60759605596
AMIENS,AMI,AMIENS,,,
AMLWCH,AMW,AMLWCH,,53.4162383658911,-4.34123243699394
AMLWOCT,,AMLWCH ASSOCTD OCTEL SDGS,,53.4153402647779,-4.34118309719842
AMLY,AMY,Amberley Rail Station,,50.89668002212,-0.54199232704
AMMANFD,AMF,Ammanford Rail Station,,51.79597472721,-3.99673488783
AMNG294,,AMINGTON JN SIG NL1294,,52.638274255831,-1.66980854596772
AMNG459,,AMINGTON JN SIG NL9459,,52.6388848874731,-1.65921573222255
AMNG462,,AMINGTON JN SIG NL9462,,52.6383020509061,-1.66980179125534
AMNG485,,AMINGTON JN SIG NL5485,,52.6388303938933,-1.6591671504871
AMNG487,,AMINGTON JN SIG NL3487,,52.6388244035934,-1.65919393563905
AMNG488,,AMINGTON JN SIG NL5488,,52.6382983875705,-1.669796459546
AMNG490,,AMINGTON JN SIG NL3490,,52.6383461894578,-1.66980931939178
AMNGTNJ,,TAMWORTH,,52.6369509250992,-1.68668327386215
AMPFLD,AMD,AMPFIELD,,51.0076934,-1.4278165
AMPTNLS,,AMPTHILL,,52.0335539916333,-0.5133315524307
AMSTDAM,AMS,AMSTERDAM CS,,52.3791235,4.9007656
AMSTSCH,,SCHIPOL,,,
ANAT,,ANNAT SIGNAL BOX & BRANCH,,56.8429725572563,-5.14083522443692
ANCAHON,,HONINGTON,,52.9820764835058,-0.598931101947763
ANCASTR,ANC,Ancaster Rail Station,,52.98768735647,-0.53562365209
ANDO202,,ANDOVER SHUNT SIG BE5202,,51.2100481505904,-1.49637456253616
ANDOKMR,,KEMIRA,,51.211401925081,-1.49379072918318
ANDOLSB,,LUDGERSHALL BRANCH STOP BOARD,,51.2100481505904,-1.49637456253616
ANDOVER,ADV,Andover Rail Station,,51.21154688023,-1.49223291317
ANDOYD,,ANDOVER YARD,,51.2100704600674,-1.49633678322998
ANDRSTN,AND,Anderston Rail Station,,55.85989696643,-4.27097904299
ANERLEY,ANZ,Anerley Rail Station,,51.41215298564,-0.06588583993
ANGELRD,AGR,Angel Road Rail Station,,51.61240492759,-0.0487913406
ANGMGF,,ANGMERING GROUND FRAME,,50.8165305577093,-0.490200511490913
ANGMRNG,ANG,Angmering Rail Station,,50.81657531232,-0.48939393986
ANGOLEM,,ANGOULEME,,,
ANGRFHH,,ANGERSTEIN WHARF FLHH,,51.4934216495255,0.0217363899625541
ANGRGBR,,ANGERSTEIN WHARF GBRF,,51.4918780954374,0.0213561647153546
ANGRMAR,,MARCON PS,,51.4922288220892,0.0216027039267409
ANGRNOR,,ANGERSTEIN WHARF NORRIS,,51.4910797823666,0.0197703081035843
ANGRSTB,,ANGERSTEIN STOP BOARD,,51.4861140576886,0.0196941046704256
ANGRSTJ,,ANGERSTEIN JUNCTION,,51.4843806191048,0.0242701481355997
ANGRSTW,,ANGERSTEIN WHARF LOOP,,51.4868624319823,0.0195534118953153
ANGRTAR,,TARMAC,,51.490624032033,0.0204576951806141
ANNADRS,,ANNAN DRS ISU CE,,54.9834421908785,-3.26331985387286
ANNAN,ANN,Annan Rail Station,,54.98383526891,-3.26258045813
ANNBANK,,ANNBANK,,55.4910956389192,-4.52895172404137
ANSDELL,AFV,Ansdell & Fairhaven Rail Station,,53.74146228451,-2.99303395065
ANSL,ANL,Anniesland Rail Station,,55.88935027219,-4.32195682994
ANSL3,,ANNIESLAND,,55.8895018770772,-4.32163146806854
ANSTYXR,,ANSTY CROSS ROADS,,,
APBY,APP,Appleby Rail Station,,54.58034642846,-2.48669223087
APBYNE,,APPLEBY NORTH EAST SIDIGS,,54.5805365785266,-2.48577098405282
APDR,APD,Appledore (Kent) Rail Station,,51.03323728979,0.81634166033
APERLYB,APY,Apperley Bridge Rail Station,,53.84174897167,-1.70582848003
APERLYJ,,APPERLEY JN,,53.8386868231709,-1.68496434085422
APLHRSJ,,APPLEHURST JN,,53.5818600784474,-1.11303722157857
APLYBDG,APB,Appley Bridge Rail Station,,53.57867074359,-2.71925209845
APLYBGW,,APPLEY BRIDGE WIMPEY,,53.5745923051663,-2.72874150790352
APPLADV,,APPLEFORD (ADVENZA),,51.6334465694568,-1.24336773874738
APPLEFD,APF,Appleford Rail Station,,51.63964121574,-1.24214140361
APPLEFS,,ARC,,51.6333398025307,-1.24402899405657
APPLEFX,,APPLEFORD XNG SIGNALLING,,51.6394851974694,-1.24246197158553
APPLEGB,,APPLEFORD SDGS (GBRf),,51.6342688836749,-1.24686733601465
APPLFHH,,APPLEFORD FHH,,51.633371862933,-1.24406821665992
APSLEY,APS,Apsley Rail Station,,51.73252176017,-0.46293473253
ARAS,,ARRAS  (FRANCE),,,
ARBRCVR,,ARBROATH CROSSOVER,,56.5619983393176,-2.58885145842268
ARBROTH,ARB,Arbroath Rail Station,,56.559573741,-2.58893139426
ARBRUNS,,ARBROATH UP NORTH SIDING,,56.5669298,-2.5892843
ARBRURS,,ARBROATH U.R.S.,,56.5637423005016,-2.58916123273718
ARBRUSS,,ARBROATH UP SOUTH SIDING,,56.5616004,-2.5886296
